"","X","Name","Latitude","Longitude","receiver","orientation","correction"
"1",1,"mof_rts_00011",50.844200022,8.677942226,0,0,0
"2",2,"mof_rts_00011",50.844200022,8.677942226,1,90,0
"3",3,"mof_rts_00011",50.844200022,8.677942226,2,180,0
"4",4,"mof_rts_00011",50.844200022,8.677942226,3,270,0
"5",5,"mof_rts_00003",50.84061893,8.67639808,0,0,0
"6",6,"mof_rts_00003",50.84061893,8.67639808,1,90,0
"7",7,"mof_rts_00003",50.84061893,8.67639808,2,180,0
"8",8,"mof_rts_00003",50.84061893,8.67639808,3,270,0
"9",9,"mof_rts_00009",50.842093443,8.671811457,0,0,0
"10",10,"mof_rts_00009",50.842093443,8.671811457,1,90,0
"11",11,"mof_rts_00009",50.842093443,8.671811457,2,180,0
"12",12,"mof_rts_00009",50.842093443,8.671811457,3,270,0
"13",13,"mof_rts_00015",50.837987724,8.671643444,0,0,0
"14",14,"mof_rts_00015",50.837987724,8.671643444,1,90,0
"15",15,"mof_rts_00015",50.837987724,8.671643444,2,180,0
"16",16,"mof_rts_00015",50.837987724,8.671643444,3,270,0
"17",17,"mof_rts_00004",50.839859874,8.671609941,0,0,0
"18",18,"mof_rts_00004",50.839859874,8.671609941,1,90,0
"19",19,"mof_rts_00004",50.839859874,8.671609941,2,180,0
"20",20,"mof_rts_00004",50.839859874,8.671609941,3,270,0
"21",21,"mof_rts_00016",50.834997049,8.681546781,0,0,0
"22",22,"mof_rts_00016",50.834997049,8.681546781,1,90,0
"23",23,"mof_rts_00016",50.834997049,8.681546781,2,180,0
"24",24,"mof_rts_00016",50.834997049,8.681546781,3,270,0
"25",25,"mof_rts_00014",50.8450603,8.686134911,0,0,0
"26",26,"mof_rts_00014",50.8450603,8.686134911,1,90,0
"27",27,"mof_rts_00014",50.8450603,8.686134911,2,180,0
"28",28,"mof_rts_00014",50.8450603,8.686134911,3,270,0
"29",29,"mof_rts_00008",50.838887665,8.685003542,0,0,0
"30",30,"mof_rts_00008",50.838887665,8.685003542,1,90,0
"31",31,"mof_rts_00008",50.838887665,8.685003542,2,180,0
"32",32,"mof_rts_00008",50.838887665,8.685003542,3,270,0
"33",33,"mof_rts_00006",50.835861844,8.67057769,0,0,0
"34",34,"mof_rts_00006",50.835861844,8.67057769,1,90,0
"35",35,"mof_rts_00006",50.835861844,8.67057769,2,180,0
"36",36,"mof_rts_00006",50.835861844,8.67057769,3,270,0
"37",37,"mof_rts_00013",50.832267647,8.672100596,0,0,0
"38",38,"mof_rts_00013",50.832267647,8.672100596,1,90,0
"39",39,"mof_rts_00013",50.832267647,8.672100596,2,180,0
"40",40,"mof_rts_00013",50.832267647,8.672100596,3,270,0
"41",41,"mof_rts_00001",50.839805701,8.68190641,0,0,0
"42",42,"mof_rts_00001",50.839805701,8.68190641,1,90,0
"43",43,"mof_rts_00001",50.839805701,8.68190641,2,180,0
"44",44,"mof_rts_00001",50.839805701,8.68190641,3,270,0
"45",45,"mof_rts_00007",50.839779355,8.67795098,0,0,0
"46",46,"mof_rts_00007",50.839779355,8.67795098,1,90,0
"47",47,"mof_rts_00007",50.839779355,8.67795098,2,180,0
"48",48,"mof_rts_00007",50.839779355,8.67795098,3,270,0
"49",49,"mof_rts_00002",50.830705045,8.67499876,0,0,0
"50",50,"mof_rts_00002",50.830705045,8.67499876,1,90,0
"51",51,"mof_rts_00002",50.830705045,8.67499876,2,180,0
"52",52,"mof_rts_00002",50.830705045,8.67499876,3,270,0
"53",53,"mof_rts_00010",50.835873283,8.678262016,0,0,0
"54",54,"mof_rts_00010",50.835873283,8.678262016,1,90,0
"55",55,"mof_rts_00010",50.835873283,8.678262016,2,180,0
"56",56,"mof_rts_00010",50.835873283,8.678262016,3,270,0
"57",57,"mof_rts_00012",50.832749707,8.683711399,0,90,0
"58",58,"mof_rts_00012",50.832749707,8.683711399,1,0,0
"59",59,"mof_rts_00012",50.832749707,8.683711399,2,180,0
"60",60,"mof_rts_00012",50.832749707,8.683711399,3,270,0
